1979	24.04457534246577	.16
1980	23.57912602739726	.26
1981	23.552495890410963	.32
1982	24.096079452054784	.14
1983	23.71024383561644	.31
1984	23.37859452054795	.16
1985	23.60729863013699	.12
1986	23.29083013698631	.18
1987	23.695709677419377	.32
1988	23.802005681818194	.39
1989	23.39320273972602	.27
1990	23.103893150684932	.45
1991	23.294065753424665	.40
1992	23.524473972602745	.22
1993	23.34228219178084	.23
1994	23.78425479452054	.32
1995	23.210013698630128	.45
1996	23.62742465753423	.33
1997	23.05721369863012	.46
1998	23.495463013698622	.61
1999	23.452199999999984	.38
2000	23.269194520547952	.39
2001	23.271991780821942	.54
2002	22.58383287671233	.63
2003	23.36699178082189	.62
2004	23.21536164383563	.53
2005	22.602591780821918	.68
2006	22.232917808219188	.63
2007	22.157906849315086	.66
2008	23.229939726027393	.54
2009	22.981156164383574	.66
2010	22.81941095890412	.72
2011	21.982449315068497	.61
2012	22.422989041095892	.65
2013	23.418767123287676	.68
2014	23.56518630136985	.75
2015	22.98351506849318	.90
2016	21.379117808219174	1.01
2017	21.14057534246574	.92
2018	21.35622739726028	.85
2019	21.07538904109588	.98
2020	21.76332876712329	1.01
2021	22.131030136986283	.84
